500	490307
501	489633
502	493063
503	495789
504	499041
505	501923
506	505094
507	507665
508	510943
509	513796
510	516873
511	519424
512	525380
513	526693
514	529476
515	532321
516	535491
517	538407
518	541896
519	544867
520	548101
521	551074
522	554409
523	557367
524	560801
525	563851
526	567372
527	570281
528	575200
529	576803
530	580529
531	583576
532	587000
533	590026
534	593592
535	596651
536	600649
537	603449
538	606999
539	610202
540	613806
541	617354
542	621086
543	624115
544	629372
545	630758
546	634581
547	637667
548	641559
549	644850
