500	489162
501	618465
502	525312
503	628195
504	456471
505	632868
506	533723
507	643785
508	503429
509	649906
510	555042
511	659844
512	791413
513	669291
514	562072
515	674077
516	530610
517	683115
518	576019
519	695421
520	505808
521	696622
522	588687
523	705295
524	555574
525	713667
526	601559
527	721123
528	529013
529	732493
530	612995
531	734986
532	579990
533	742971
534	628098
535	753952
536	550999
537	761254
538	642422
539	770804
540	606442
541	779545
542	655981
543	786247
544	573012
545	809205
546	672176
547	803666
548	633395
549	814213
